input_path,task,phase,condition,channel,prepared_cluster,current_cluster,prepared_assignment_sha256
/cwork/ns458/BIDS-1.4_Phoneme_sequencing/BIDS/derivatives/decoding(bipolar)/sub-Motor/articulator/sub-Motor_task-PhonemeSequence_proc-Delay_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,Delay,Repeat,D0084_RAI4-5,motor,sustain,0b28f2105a7b08d0c91cfdb94686e6c6f266c9e7e5acc1e32971936695b00b97
/cwork/ns458/BIDS-1.4_Phoneme_sequencing/BIDS/derivatives/decoding(bipolar)/sub-Motor/articulator/sub-Motor_task-PhonemeSequence_proc-Go_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,Go,Repeat,D0057_RAI3-4,motor,sustain,0b28f2105a7b08d0c91cfdb94686e6c6f266c9e7e5acc1e32971936695b00b97
/cwork/ns458/BIDS-1.4_Phoneme_sequencing/BIDS/derivatives/decoding(bipolar)/sub-Motor/articulator/sub-Motor_task-PhonemeSequence_proc-Go_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,Go,Repeat,D0057_RAI4-5,motor,sustain,0b28f2105a7b08d0c91cfdb94686e6c6f266c9e7e5acc1e32971936695b00b97
/cwork/ns458/BIDS-1.4_Phoneme_sequencing/BIDS/derivatives/decoding(bipolar)/sub-Motor/articulator/sub-Motor_task-PhonemeSequence_proc-Go_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,Go,Repeat,D0057_RAI5-6,motor,sustain,0b28f2105a7b08d0c91cfdb94686e6c6f266c9e7e5acc1e32971936695b00b97
/cwork/ns458/BIDS-1.4_Phoneme_sequencing/BIDS/derivatives/decoding(bipolar)/sub-Motor/articulator/sub-Motor_task-PhonemeSequence_proc-Go_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,Go,Repeat,D0084_RAI4-5,motor,sustain,0b28f2105a7b08d0c91cfdb94686e6c6f266c9e7e5acc1e32971936695b00b97
/cwork/ns458/BIDS-1.4_Phoneme_sequencing/BIDS/derivatives/decoding(bipolar)/sub-Motor/articulator/sub-Motor_task-PhonemeSequence_proc-Response_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,Response,Repeat,D0057_RAI3-4,motor,sustain,0b28f2105a7b08d0c91cfdb94686e6c6f266c9e7e5acc1e32971936695b00b97
/cwork/ns458/BIDS-1.4_Phoneme_sequencing/BIDS/derivatives/decoding(bipolar)/sub-Motor/articulator/sub-Motor_task-PhonemeSequence_proc-Response_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,Response,Repeat,D0057_RAI4-5,motor,sustain,0b28f2105a7b08d0c91cfdb94686e6c6f266c9e7e5acc1e32971936695b00b97
/cwork/ns458/BIDS-1.4_Phoneme_sequencing/BIDS/derivatives/decoding(bipolar)/sub-Motor/articulator/sub-Motor_task-PhonemeSequence_proc-Response_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,Response,Repeat,D0057_RAI5-6,motor,sustain,0b28f2105a7b08d0c91cfdb94686e6c6f266c9e7e5acc1e32971936695b00b97
/cwork/ns458/BIDS-1.4_Phoneme_sequencing/BIDS/derivatives/decoding(bipolar)/sub-Motor/articulator/sub-Motor_task-PhonemeSequence_proc-Response_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,Response,Repeat,D0084_RAI4-5,motor,sustain,0b28f2105a7b08d0c91cfdb94686e6c6f266c9e7e5acc1e32971936695b00b97
/cwork/ns458/BIDS-1.4_Phoneme_sequencing/BIDS/derivatives/decoding(bipolar)/sub-Motor/articulator/sub-Motor_task-PhonemeSequence_proc-Stimulus_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,Stimulus,Repeat,D0084_RAI4-5,motor,sustain,0b28f2105a7b08d0c91cfdb94686e6c6f266c9e7e5acc1e32971936695b00b97
