path,task,roi,phase,condition,n_trials,n_channels,n_time_samples,n_items,label_counts,n_contributing_subjects,fs,tmin,tmax,input_datatype,channel_selection,assignment_sha256,n_assignment_mismatches,channels
/cwork/ns458/BIDS-1.4_Phoneme_sequencing/BIDS/derivatives/decoding(bipolar)/sub-Sensory/articulator/sub-Sensory_task-PhonemeSequence_proc-Delay_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,Sensory,Delay,Repeat,103,7,320,52,"{""low_vowel"": 24, ""labial"": 28, ""dorsal"": 23, ""high_vowel"": 28}",5,128,-1.0,1.4921875,epoch(band)(zscore),functional_assignment_intersection_same_phase_repeat_sig,0b28f2105a7b08d0c91cfdb94686e6c6f266c9e7e5acc1e32971936695b00b97,0,"[""D0042_RPI1-2"", ""D0049_LAI1-2"", ""D0049_LAI3-4"", ""D0049_LPI1-2"", ""D0058_LPI5-6"", ""D0071_RIP2-3"", ""D0096_LTAS2-3""]"
/cwork/ns458/BIDS-1.4_Phoneme_sequencing/BIDS/derivatives/decoding(bipolar)/sub-Sensory/articulator/sub-Sensory_task-PhonemeSequence_proc-Go_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,Sensory,Go,Repeat,51,1,320,42,"{""low_vowel"": 14, ""labial"": 10, ""dorsal"": 10, ""high_vowel"": 17}",1,128,-1.0,1.4921875,epoch(band)(zscore),functional_assignment_intersection_same_phase_repeat_sig,0b28f2105a7b08d0c91cfdb94686e6c6f266c9e7e5acc1e32971936695b00b97,0,"[""D0086_RTPS4-9""]"
/cwork/ns458/BIDS-1.4_Phoneme_sequencing/BIDS/derivatives/decoding(bipolar)/sub-Sensory/articulator/sub-Sensory_task-PhonemeSequence_proc-Response_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,Sensory,Response,Repeat,93,2,320,52,"{""low_vowel"": 23, ""labial"": 25, ""dorsal"": 19, ""high_vowel"": 26}",1,128,-1.0,1.4921875,epoch(band)(zscore),functional_assignment_intersection_same_phase_repeat_sig,0b28f2105a7b08d0c91cfdb94686e6c6f266c9e7e5acc1e32971936695b00b97,0,"[""D0049_LAI3-4"", ""D0049_LPI2-3""]"
/cwork/ns458/BIDS-1.4_Phoneme_sequencing/BIDS/derivatives/decoding(bipolar)/sub-Sensory/articulator/sub-Sensory_task-PhonemeSequence_proc-Stimulus_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,Sensory,Stimulus,Repeat,103,9,320,52,"{""low_vowel"": 24, ""labial"": 28, ""dorsal"": 23, ""high_vowel"": 28}",5,128,-1.0,1.4921875,epoch(band)(zscore),functional_assignment_intersection_same_phase_repeat_sig,0b28f2105a7b08d0c91cfdb94686e6c6f266c9e7e5acc1e32971936695b00b97,0,"[""D0042_RPI1-2"", ""D0042_RPI2-3"", ""D0049_LAI1-2"", ""D0049_LAI3-4"", ""D0049_LPI1-2"", ""D0049_LPI2-3"", ""D0058_LPI5-6"", ""D0071_RIP2-3"", ""D0096_LTAS2-3""]"
/cwork/ns458/BIDS-1.4_Phoneme_sequencing/BIDS/derivatives/decoding(bipolar)/sub-Sustain/articulator/sub-Sustain_task-PhonemeSequence_proc-Delay_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,Sustain,Delay,Repeat,104,16,320,52,"{""low_vowel"": 24, ""labial"": 28, ""dorsal"": 24, ""high_vowel"": 28}",9,128,-1.0,1.4921875,epoch(band)(zscore),functional_assignment_intersection_same_phase_repeat_sig,0b28f2105a7b08d0c91cfdb94686e6c6f266c9e7e5acc1e32971936695b00b97,0,"[""D0028_LAI1-2"", ""D0035_LPI1-2"", ""D0045_RAI1-2"", ""D0045_RAI3-4"", ""D0045_RPI1-2"", ""D0045_RPI3-4"", ""D0053_RPI2-3"", ""D0055_RAI5-6"", ""D0055_RAI6-7"", ""D0060_RI3-4"", ""D0064_LAI5-6"", ""D0064_LAI6-7"", ""D0088_LAI1-2"", ""D0088_LTAS1-2"", ""D0092_LIA3-4"", ""D0092_LIA4-5""]"
/cwork/ns458/BIDS-1.4_Phoneme_sequencing/BIDS/derivatives/decoding(bipolar)/sub-Sustain/articulator/sub-Sustain_task-PhonemeSequence_proc-Go_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,Sustain,Go,Repeat,104,11,320,52,"{""low_vowel"": 24, ""labial"": 28, ""dorsal"": 24, ""high_vowel"": 28}",7,128,-1.0,1.4921875,epoch(band)(zscore),functional_assignment_intersection_same_phase_repeat_sig,0b28f2105a7b08d0c91cfdb94686e6c6f266c9e7e5acc1e32971936695b00b97,0,"[""D0045_RPI3-4"", ""D0053_RPI1-2"", ""D0053_RPI2-3"", ""D0055_RAI5-6"", ""D0055_RAI6-7"", ""D0060_RI3-4"", ""D0064_LAI5-6"", ""D0064_LAI6-7"", ""D0088_LAI1-2"", ""D0092_LIA3-4"", ""D0092_LIA4-5""]"
/cwork/ns458/BIDS-1.4_Phoneme_sequencing/BIDS/derivatives/decoding(bipolar)/sub-Sustain/articulator/sub-Sustain_task-PhonemeSequence_proc-Response_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,Sustain,Response,Repeat,104,8,320,52,"{""low_vowel"": 24, ""labial"": 28, ""dorsal"": 24, ""high_vowel"": 28}",4,128,-1.0,1.4921875,epoch(band)(zscore),functional_assignment_intersection_same_phase_repeat_sig,0b28f2105a7b08d0c91cfdb94686e6c6f266c9e7e5acc1e32971936695b00b97,0,"[""D0045_RAI1-2"", ""D0045_RPI3-4"", ""D0055_RAI5-6"", ""D0055_RAI6-7"", ""D0064_LAI5-6"", ""D0064_LAI6-7"", ""D0092_LIA3-4"", ""D0092_LIA4-5""]"
/cwork/ns458/BIDS-1.4_Phoneme_sequencing/BIDS/derivatives/decoding(bipolar)/sub-Sustain/articulator/sub-Sustain_task-PhonemeSequence_proc-Stimulus_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,Sustain,Stimulus,Repeat,101,9,320,52,"{""low_vowel"": 24, ""labial"": 26, ""dorsal"": 23, ""high_vowel"": 28}",6,128,-1.0,1.4921875,epoch(band)(zscore),functional_assignment_intersection_same_phase_repeat_sig,0b28f2105a7b08d0c91cfdb94686e6c6f266c9e7e5acc1e32971936695b00b97,0,"[""D0045_RAI1-2"", ""D0045_RPI3-4"", ""D0053_RPI1-2"", ""D0053_RPI2-3"", ""D0055_RAI6-7"", ""D0060_RI3-4"", ""D0064_LAI5-6"", ""D0064_LAI6-7"", ""D0088_LTAS1-2""]"
/cwork/ns458/BIDS-1.4_Phoneme_sequencing/BIDS/derivatives/decoding(bipolar)/sub-Motor/articulator/sub-Motor_task-PhonemeSequence_proc-Delay_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,Motor,Delay,Repeat,104,14,320,52,"{""low_vowel"": 24, ""labial"": 28, ""dorsal"": 24, ""high_vowel"": 28}",11,128,-1.0,1.4921875,epoch(band)(zscore),functional_assignment_intersection_same_phase_repeat_sig,0b28f2105a7b08d0c91cfdb94686e6c6f266c9e7e5acc1e32971936695b00b97,1,"[""D0040_L3ST1-2"", ""D0042_RPI5-6"", ""D0049_LPI3-4"", ""D0060_RI6-7"", ""D0064_LAI3-4"", ""D0067_LAI2-3"", ""D0075_RAI6-7"", ""D0084_RAI2-3"", ""D0084_RAI3-4"", ""D0084_RAI4-5"", ""D0088_LAI4-5"", ""D0092_RIA4-5"", ""D0095_RIA1-2"", ""D0095_RIA2-3""]"
/cwork/ns458/BIDS-1.4_Phoneme_sequencing/BIDS/derivatives/decoding(bipolar)/sub-Motor/articulator/sub-Motor_task-PhonemeSequence_proc-Go_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,Motor,Go,Repeat,104,32,320,52,"{""low_vowel"": 24, ""labial"": 28, ""dorsal"": 24, ""high_vowel"": 28}",20,128,-1.0,1.4921875,epoch(band)(zscore),functional_assignment_intersection_same_phase_repeat_sig,0b28f2105a7b08d0c91cfdb94686e6c6f266c9e7e5acc1e32971936695b00b97,4,"[""D0035_LPI4-5"", ""D0040_L3ST1-2"", ""D0042_RPI5-6"", ""D0049_LPI3-4"", ""D0052_LI3-4"", ""D0052_RI3-4"", ""D0054_RPI1-2"", ""D0054_RPI2-3"", ""D0055_RPI8-9"", ""D0057_RAI3-4"", ""D0057_RAI4-5"", ""D0057_RAI5-6"", ""D0057_RPI2-3"", ""D0060_RI6-7"", ""D0061_LAI4-5"", ""D0061_LPI5-6"", ""D0061_LPI6-7"", ""D0064_LAI3-4"", ""D0068_LAI3-4"", ""D0070_LIA2-3"", ""D0075_RAI5-6"", ""D0075_RAI6-7"", ""D0079_LAI7-8"", ""D0084_RAI3-4"", ""D0084_RAI4-5"", ""D0088_LAI4-5"", ""D0093_LIA5-6"", ""D0095_RIA1-2"", ""D0095_RIA2-3"", ""D0095_RPI1-2"", ""D0096_LFAI1-2"", ""D0096_LFMI2-3""]"
