path,task,roi,phase,condition_or_direction,branch,fs,tmin,tmax,window,step,variance,n_folds,n_repeats,n_perm,cv_random_state,n_channels,n_items,class_counts,n_bins,estimator,scoring,source,target,n_time_points,first_time_label,last_time_label,dataset_shapes,file_bytes,mtime_utc
/hpc/group/coganlab/nanlinshi/insula/results/PhonemeSequence(roi)(bipolar)/sub-MFGl/(decode)articulator/sub-MFGl_proc-Delay_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,MFGl,Delay,Repeat,window_svm,128,0.0,0.7,,,0.95,5,30,200,42,,,,,,,,,0,,,"{""accuracy"": [5], ""accuracy_repeats"": [30, 5], ""accuracy_stable"": [], ""classes"": [4], ""confusion"": [4, 4], ""confusion_norm"": [4, 4], ""p_value"": [], ""perm_scores"": [5, 200]}",13640,2026-07-18T18:02:07.048981+00:00
/hpc/group/coganlab/nanlinshi/insula/results/PhonemeSequence(roi)(bipolar)/sub-MFGl/(decode)articulator/sub-MFGl_proc-Go_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,MFGl,Go,Repeat,window_svm,128,0.0,0.5,,,0.95,5,30,200,42,,,,,,,,,0,,,"{""accuracy"": [5], ""accuracy_repeats"": [30, 5], ""accuracy_stable"": [], ""classes"": [4], ""confusion"": [4, 4], ""confusion_norm"": [4, 4], ""p_value"": [], ""perm_scores"": [5, 200]}",13640,2026-07-18T15:40:53.005859+00:00
/hpc/group/coganlab/nanlinshi/insula/results/PhonemeSequence(roi)(bipolar)/sub-MFGl/(decode)articulator/sub-MFGl_proc-Response_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,MFGl,Response,Repeat,window_svm,128,-0.5,0.5,,,0.95,5,30,200,42,,,,,,,,,0,,,"{""accuracy"": [5], ""accuracy_repeats"": [30, 5], ""accuracy_stable"": [], ""classes"": [4], ""confusion"": [4, 4], ""confusion_norm"": [4, 4], ""p_value"": [], ""perm_scores"": [5, 200]}",13640,2026-07-18T15:43:01.689672+00:00
/hpc/group/coganlab/nanlinshi/insula/results/PhonemeSequence(roi)(bipolar)/sub-MFGl/(decode)articulator/sub-MFGl_proc-Stimulus_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,MFGl,Stimulus,Repeat,window_svm,128,0.0,0.5,,,0.95,5,30,200,42,,,,,,,,,0,,,"{""accuracy"": [5], ""accuracy_repeats"": [30, 5], ""accuracy_stable"": [], ""classes"": [4], ""confusion"": [4, 4], ""confusion_norm"": [4, 4], ""p_value"": [], ""perm_scores"": [5, 200]}",13640,2026-07-18T15:40:14.070212+00:00
/hpc/group/coganlab/nanlinshi/insula/results/PhonemeSequence(roi)(bipolar)/sub-SMCl/(decode)articulator/sub-SMCl_proc-Delay_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,SMCl,Delay,Repeat,window_svm,128,0.0,0.7,,,0.95,5,30,200,42,,,,,,,,,0,,,"{""accuracy"": [5], ""accuracy_repeats"": [30, 5], ""accuracy_stable"": [], ""classes"": [4], ""confusion"": [4, 4], ""confusion_norm"": [4, 4], ""p_value"": [], ""perm_scores"": [5, 200]}",13640,2026-07-18T17:59:14.539734+00:00
/hpc/group/coganlab/nanlinshi/insula/results/PhonemeSequence(roi)(bipolar)/sub-SMCl/(decode)articulator/sub-SMCl_proc-Go_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,SMCl,Go,Repeat,window_svm,128,0.0,0.5,,,0.95,5,30,200,42,,,,,,,,,0,,,"{""accuracy"": [5], ""accuracy_repeats"": [30, 5], ""accuracy_stable"": [], ""classes"": [4], ""confusion"": [4, 4], ""confusion_norm"": [4, 4], ""p_value"": [], ""perm_scores"": [5, 200]}",13640,2026-07-18T15:36:40.992535+00:00
/hpc/group/coganlab/nanlinshi/insula/results/PhonemeSequence(roi)(bipolar)/sub-SMCl/(decode)articulator/sub-SMCl_proc-Response_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,SMCl,Response,Repeat,window_svm,128,-0.5,0.5,,,0.95,5,30,200,42,,,,,,,,,0,,,"{""accuracy"": [5], ""accuracy_repeats"": [30, 5], ""accuracy_stable"": [], ""classes"": [4], ""confusion"": [4, 4], ""confusion_norm"": [4, 4], ""p_value"": [], ""perm_scores"": [5, 200]}",13640,2026-07-18T15:38:50.578810+00:00
/hpc/group/coganlab/nanlinshi/insula/results/PhonemeSequence(roi)(bipolar)/sub-SMCl/(decode)articulator/sub-SMCl_proc-Stimulus_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,SMCl,Stimulus,Repeat,window_svm,128,0.0,0.5,,,0.95,5,30,200,42,,,,,,,,,0,,,"{""accuracy"": [5], ""accuracy_repeats"": [30, 5], ""accuracy_stable"": [], ""classes"": [4], ""confusion"": [4, 4], ""confusion_norm"": [4, 4], ""p_value"": [], ""perm_scores"": [5, 200]}",13640,2026-07-18T15:36:58.215973+00:00
/hpc/group/coganlab/nanlinshi/insula/results/PhonemeSequence(roi)(bipolar)/sub-STGl/(decode)articulator/sub-STGl_proc-Delay_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,STGl,Delay,Repeat,window_svm,128,0.0,0.7,,,0.95,5,30,200,42,,,,,,,,,0,,,"{""accuracy"": [5], ""accuracy_repeats"": [30, 5], ""accuracy_stable"": [], ""classes"": [4], ""confusion"": [4, 4], ""confusion_norm"": [4, 4], ""p_value"": [], ""perm_scores"": [5, 200]}",13640,2026-07-18T17:53:30.862542+00:00
/hpc/group/coganlab/nanlinshi/insula/results/PhonemeSequence(roi)(bipolar)/sub-STGl/(decode)articulator/sub-STGl_proc-Go_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,STGl,Go,Repeat,window_svm,128,0.0,0.5,,,0.95,5,30,200,42,,,,,,,,,0,,,"{""accuracy"": [5], ""accuracy_repeats"": [30, 5], ""accuracy_stable"": [], ""classes"": [4], ""confusion"": [4, 4], ""confusion_norm"": [4, 4], ""p_value"": [], ""perm_scores"": [5, 200]}",13640,2026-07-18T15:33:31.972030+00:00
/hpc/group/coganlab/nanlinshi/insula/results/PhonemeSequence(roi)(bipolar)/sub-STGl/(decode)articulator/sub-STGl_proc-Response_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,STGl,Response,Repeat,window_svm,128,-0.5,0.5,,,0.95,5,30,200,42,,,,,,,,,0,,,"{""accuracy"": [5], ""accuracy_repeats"": [30, 5], ""accuracy_stable"": [], ""classes"": [4], ""confusion"": [4, 4], ""confusion_norm"": [4, 4], ""p_value"": [], ""perm_scores"": [5, 200]}",13640,2026-07-18T15:34:22.423406+00:00
/hpc/group/coganlab/nanlinshi/insula/results/PhonemeSequence(roi)(bipolar)/sub-STGl/(decode)articulator/sub-STGl_proc-Stimulus_recording-1_desc-Repeat_highgamma.h5,PhonemeSequence,STGl,Stimulus,Repeat,window_svm,128,0.0,0.5,,,0.95,5,30,200,42,,,,,,,,,0,,,"{""accuracy"": [5], ""accuracy_repeats"": [30, 5], ""accuracy_stable"": [], ""classes"": [4], ""confusion"": [4, 4], ""confusion_norm"": [4, 4], ""p_value"": [], ""perm_scores"": [5, 200]}",13640,2026-07-18T15:31:26.963666+00:00
/hpc/group/coganlab/nanlinshi/insula-functional/results/decoding/LexicalDelay/sub-MFGl/(decode)(resolved)(lda)lexicality/sub-MFGl_proc-Delay_desc-Decision_highgamma.h5,LexicalDelay,MFGl,Delay,Decision,resolved_lda,128,-0.5,1.5,0.3,0.03,,5,,5000,42,68,84,"{""Nonword"": 84, ""Word"": 84}",5,"LDA(solver=lsqr, shrinkage=auto)",roc_auc_pooled_oof,/cwork/ns458/BIDS-1.0_LexicalDecRepDelay/BIDS/derivatives/decoding(bipolar)/sub-MFGl/lexicality/sub-MFGl_task-LexicalDelay_proc-Delay_desc-Decision_highgamma.h5,,57,-0.2,1.48,"{""auc"": [57], ""baseline"": [5000, 57], ""channel"": [68], ""mask"": [57], ""p_perm"": [57], ""p_values"": [57], ""time"": [57]}",2291633,2026-09-10T03:18:23.079316+00:00
