channel,subject,roi,hemi,x,y,z,component,functional_cluster,loading_sustain,loading_motor,loading_sensory,dominance
D0022_LMIF3-4,D0022,PIC,L,-36.826,3.4288000000000007,-28.51879,1,sustain,0.3562572659325553,0.3063038360266903,0.3159764823876074,0.3640711114538817
D0022_LPIF3-4,D0022,PIC,L,-33.9695,-3.025400000000001,-19.234312,0,motor,0.1227507096171528,0.7334062116570784,0.4070898423501982,0.5805724049930154
D0023_R2IF1-2,D0023,PIC,R,35.7033,7.35276,-0.9473999999999982,0,motor,0.0,0.7344841822857475,0.5315960201853233,0.5801245299090996
D0027_LAI1-2,D0027,AIC,L,-33.4346,25.11575,-21.90589,0,motor,0.4774815355423387,0.6327463552524032,0.0962215146153981,0.5244698637298404
D0028_LAI1-2,D0028,AIC,L,-32.7839,29.0927,-30.7715,1,sustain,0.6327999300506235,0.1583701585225794,0.0728208941280973,0.7324149704342409
D0028_LPI1-2,D0028,PIC,L,-36.8397,13.34581,-25.12464,0,motor,0.2175331926112869,0.5580143616577291,0.1475223469097661,0.6045201570814208
D0032_LAI1-2,D0032,AIC,L,-35.3716,26.60554,-27.82717,0,motor,0.3329219675366072,0.5237217740631332,0.0356864351939153,0.5869147852255586
D0032_LAI2-3,D0032,AIC,L,-35.621,26.88848,-24.63955,0,motor,0.2406003036735593,0.7900250356627767,0.0272500324672499,0.7468035051386557
D0032_LAI3-4,D0032,AIC,L,-35.6311,27.6644,-21.58193,0,motor,0.3364364289150744,0.8007868551070815,0.0,0.7041597427330553
D0032_LPI6-7,D0032,AIC,L,-33.2655,9.08763,-7.7197,0,motor,0.2577094629933298,0.6217248028293634,0.0197677235759484,0.6914184022715003
D0035_LAI2-3,D0035,AIC,L,-38.9591,26.81643,-21.44476,0,motor,0.4365212738635224,0.4802676481926482,0.0,0.5238584767314878
D0035_LPI1-2,D0035,PIC,L,-34.2676,5.060499999999999,-25.17764,1,sustain,0.4761502522013201,0.178405632521782,0.3325546830018429,0.4823676979760567
D0035_LPI2-3,D0035,PIC,L,-34.5056,5.7844,-21.1425,0,motor,0.0901673315510892,0.6953418221941975,0.4273387550215379,0.5733132878146224
D0035_LPI3-4,D0035,PIC,L,-34.7331,6.336499999999999,-16.87796,0,motor,0.1033209031974584,0.8075757656614084,0.3624465608831695,0.634216876328791
D0035_LPI4-5,D0035,PIC,L,-34.6143,7.23334,-12.80319,0,motor,0.0939706014348752,0.928873503399228,0.0215721904796853,0.8893709410385575
D0038_LI4-5,D0038,AIC,L,-33.21,17.443948,-19.534207,0,motor,0.4062927919401026,0.7828421621992525,0.0729461400793444,0.6202788123404039
D0038_LI5-6,D0038,AIC,L,-33.3162,17.91391,-15.29914,0,motor,0.0,0.936624128071846,0.0382086582707337,0.960804910538466
D0038_LI6-7,D0038,AIC,L,-34.1179,18.41589,-10.95406,0,motor,0.0232017963350443,0.9292034342862407,0.006717704024058,0.9688053540600968
D0038_RI1-2,D0038,AIC,R,37.4057,20.20053,-17.73337,0,motor,0.0254576165610501,0.9522088415588276,0.0226261341934844,0.9519303140660752
D0038_RI2-3,D0038,AIC,R,36.8639,20.80382,-13.38474,0,motor,0.0,0.9768219403433192,0.0,1.0
D0040_L3ST1-2,D0040,PIC,L,-29.7313,-4.741,-16.13331,0,motor,0.1176902683915018,0.6351759908427342,0.6161573691253212,0.4639627671027407
D0042_RPI1-2,D0042,PIC,R,34.568,-3.599499999999999,-19.37378,2,sensory,0.3809810410294062,0.2331159216647143,0.6191416812677799,0.5020453132077716
D0042_RPI2-3,D0042,PIC,R,34.2672,-1.7014999999999991,-15.12849,2,sensory,0.1118067833391199,0.1691046658309266,0.8005999336163774,0.7402602934734708
D0042_RPI5-6,D0042,PIC,R,34.5156,4.1069,-2.2155999999999985,0,motor,0.1634763366980194,0.8204613451217119,0.2949484460178256,0.6415437053094114
D0044_LI5-6,D0044,PIC,L,-35.5749,6.8293,-22.87198,1,sustain,0.7569880674179464,0.1913844879569713,0.2087947876111952,0.6541733760516528
D0044_LI6-7,D0044,PIC,L,-34.8747,7.91188,-17.27998,1,sustain,0.6589565995015296,0.2960959787466967,0.3559650494043433,0.5026298545515503
D0044_LI8-9,D0044,AIC,L,-33.8834,11.00043,-6.3507,0,motor,0.4969560080494159,0.5459854885154994,0.2334797025230271,0.4277471174136166
D0044_RI1-2,D0044,PIC,R,39.0631,6.9926,-24.73111,0,motor,0.0,0.7950273267224355,0.1397968628474778,0.8504565196245141
