notebook,cell_index_zero_based,cell_id,cell_type,execution_count,source_sha256,source_first_nonempty_line,source_n_lines,n_outputs,has_cached_stream_output
vizpub/fig1.ipynb,0,6109ec5f,code,23,fd591b0f56c75889dfc3a247e79781be8651be01f0f060319a0ce3b7441502e1,import numpy as np,11,0,False
vizpub/fig1.ipynb,1,71a8e447,code,24,c1be8bb01dc72028fa531cc5c4f23f9e6da38f0d270c73831cfbd64401b79a31,cm = 1/2.54,22,1,False
vizpub/fig1.ipynb,2,7c652ed0,markdown,,d07e8f957adee62978200041eaeebda3b9d6b3b51955135329fec60f09a296f6,# Fig 1: Whole brain electrodes map to the pial surface,1,0,False
vizpub/fig1.ipynb,3,43c0bb99,code,25,98c3ff369cd3bff6cd1c53c288dd067ad8cbfe46f225a57b327d420d599f9b05,"def insula_mask(df, atlas):",49,3,True
vizpub/fig1.ipynb,4,00031585,code,26,b613cef4881255da9ec97774369f8e1f15d8bce43164ea91ab1a3374cbb56aa8,# Hammers MNI152 insula highlight on cvs_avg35_inMNI152 pial surface.,163,1,True
vizpub/fig1.ipynb,5,5aa07d41,code,27,ea7222748d32586f8a50ad0586b467b5cfd089f4606754414bea771e2f40307a,# cvs_avg35_inMNI152 visualization — template coords from package_ave_cord.py,113,3,True
vizpub/fig1.ipynb,6,4760db8b,markdown,,e07031d795d5d88584fe21f6dfca48331370c963a566f1b5e325e6c96e59eea7,# Panel B: Insula electrode zoom (L/R top-down),3,0,False
vizpub/fig1.ipynb,7,7731cdbd,code,28,3449dad02262f88511fde82ccb72b537b3b74bcad87d93da161bf0138b1252f1,# Panel B helpers — insula zoom on cvs_avg35_inMNI152 pial surface,150,1,True
vizpub/fig1.ipynb,8,f7d17c1e,code,29,c4aa2b8ea55e3240ad39bf9803282cc67af7171cbd8c968125efa00bc548af9e,# Fig B1 — monochrome insula electrodes on pial surface,9,3,True
vizpub/fig1.ipynb,9,b25028fd,code,30,35e53e0ffdf60285bd11af69adf48ce45179473c6eee01b35885d981ea048509,# Fig B2 — Hammers six insular gyri (electrode color by gyrus label),23,4,True
vizpub/fig1.ipynb,10,ad2e92dd,markdown,,51cbc32b76682f8a9c5de1ebf752cd251fa397576a606c90264abd30fce7431b,## Significant HGA electrodes by phase,3,0,False
vizpub/fig1.ipynb,11,hga-phase-load,code,31,53959493095b63c7727566d2e05e7cac6084d5323d65516212658a192d128650,# Load per-timepoint HGA stats (mask column lives in *_time.csv),275,2,True
vizpub/fig1.ipynb,12,hga-phase-v1-md,markdown,,98b8c19140b33d726ea5e8d2fc136d5b8655f37f0ca0eed5edeb428a8280185a,### Version 1 — Insula vs Other ROIs,1,0,False
vizpub/fig1.ipynb,13,dc4ae79f,code,32,1dd0c8563471616f0264b4642c868edc6163bc1d67e43eff069e4b5217036392,phase_data = phase_insula_vs_other(),37,1,False
vizpub/fig1.ipynb,14,hga-phase-v2-md,markdown,,ef68616bc410c6e714202bf170d8f03a22431ce60f9e2508719f2598a506c231,### Version 2 — Insula + STG + SMC + IFG + Other,1,0,False
vizpub/fig1.ipynb,15,b332bccf,code,33,2650bce98df796ab41d7ea7e978847ea300adbf8d4e4e369d89de660e333484c,breakdown_data = phase_roi_breakdown(),45,1,False
vizpub/fig1.ipynb,16,hga-phase-union-md,markdown,,57d6b8cdbde9a2eb63236eb30d44806a4b8eed306712421fb0e8728842d3e43d,### Union across phases — significant in any phase,3,0,False
