summary_file,csv_line,task,subject,phase,channel,functional_cluster,current_cluster
electrodes.csv,201,LexicalDelay,D0057,Delay,D0057_RAI3-4,motor,sustain
electrodes.csv,202,LexicalDelay,D0057,Delay,D0057_RAI4-5,motor,sustain
electrodes.csv,203,LexicalDelay,D0057,Delay,D0057_RAI5-6,motor,sustain
electrodes.csv,208,LexicalDelay,D0057,Go,D0057_RAI3-4,motor,sustain
electrodes.csv,209,LexicalDelay,D0057,Go,D0057_RAI4-5,motor,sustain
electrodes.csv,210,LexicalDelay,D0057,Go,D0057_RAI5-6,motor,sustain
electrodes.csv,215,LexicalDelay,D0057,Response,D0057_RAI3-4,motor,sustain
electrodes.csv,216,LexicalDelay,D0057,Response,D0057_RAI4-5,motor,sustain
electrodes.csv,217,LexicalDelay,D0057,Response,D0057_RAI5-6,motor,sustain
electrodes.csv,365,LexicalDelay,D0084,Delay,D0084_RAI4-5,motor,sustain
electrodes.csv,371,LexicalDelay,D0084,Go,D0084_RAI4-5,motor,sustain
electrodes.csv,377,LexicalDelay,D0084,Response,D0084_RAI4-5,motor,sustain
electrodes.csv,407,LexicalDelay,D0090,Delay,D0090_RIA4-5,motor,sustain
electrodes.csv,417,LexicalDelay,D0090,Go,D0090_RIA4-5,motor,sustain
electrodes.csv,427,LexicalDelay,D0090,Response,D0090_RIA4-5,motor,sustain
electrodes.csv,560,LexicalDelay,D0102,Delay,D0102_RFAI1-2,motor,sustain
electrodes.csv,566,LexicalDelay,D0102,Go,D0102_RFAI1-2,motor,sustain
electrodes.csv,572,LexicalDelay,D0102,Response,D0102_RFAI1-2,motor,sustain
electrodes.csv,1008,PhonemeSequence,D0057,Delay,D0057_RAI3-4,motor,sustain
electrodes.csv,1009,PhonemeSequence,D0057,Delay,D0057_RAI4-5,motor,sustain
electrodes.csv,1010,PhonemeSequence,D0057,Delay,D0057_RAI5-6,motor,sustain
electrodes.csv,1015,PhonemeSequence,D0057,Go,D0057_RAI3-4,motor,sustain
electrodes.csv,1016,PhonemeSequence,D0057,Go,D0057_RAI4-5,motor,sustain
electrodes.csv,1017,PhonemeSequence,D0057,Go,D0057_RAI5-6,motor,sustain
electrodes.csv,1022,PhonemeSequence,D0057,Response,D0057_RAI3-4,motor,sustain
electrodes.csv,1023,PhonemeSequence,D0057,Response,D0057_RAI4-5,motor,sustain
electrodes.csv,1024,PhonemeSequence,D0057,Response,D0057_RAI5-6,motor,sustain
electrodes.csv,1238,PhonemeSequence,D0084,Delay,D0084_RAI4-5,motor,sustain
electrodes.csv,1244,PhonemeSequence,D0084,Go,D0084_RAI4-5,motor,sustain
electrodes.csv,1250,PhonemeSequence,D0084,Response,D0084_RAI4-5,motor,sustain
electrodes.csv,1469,PhonemeSequence,D0102,Delay,D0102_RFAI1-2,motor,sustain
electrodes.csv,1475,PhonemeSequence,D0102,Go,D0102_RFAI1-2,motor,sustain
electrodes.csv,1481,PhonemeSequence,D0102,Response,D0102_RFAI1-2,motor,sustain
electrodes.csv,1601,PictureNaming,D0084,Delay,D0084_RAI4-5,motor,sustain
electrodes.csv,1607,PictureNaming,D0084,Go,D0084_RAI4-5,motor,sustain
electrodes.csv,1613,PictureNaming,D0084,Response,D0084_RAI4-5,motor,sustain
electrodes.csv,1682,PictureNaming,D0090,Delay,D0090_RIA4-5,motor,sustain
electrodes.csv,1692,PictureNaming,D0090,Go,D0090_RIA4-5,motor,sustain
electrodes.csv,1702,PictureNaming,D0090,Response,D0090_RIA4-5,motor,sustain
electrodes.csv,1850,PictureNaming,D0102,Delay,D0102_RFAI1-2,motor,sustain
electrodes.csv,1856,PictureNaming,D0102,Go,D0102_RFAI1-2,motor,sustain
electrodes.csv,1862,PictureNaming,D0102,Response,D0102_RFAI1-2,motor,sustain
significant_clusters.csv,45,LexicalDelay,D0084,Go,D0084_RAI4-5,motor,sustain
significant_clusters.csv,53,LexicalDelay,D0090,Response,D0090_RIA4-5,motor,sustain
significant_clusters.csv,62,LexicalDelay,D0102,Delay,D0102_RFAI1-2,motor,sustain
significant_clusters.csv,146,PictureNaming,D0084,Delay,D0084_RAI4-5,motor,sustain
significant_clusters.csv,147,PictureNaming,D0084,Delay,D0084_RAI4-5,motor,sustain
significant_clusters.csv,151,PictureNaming,D0084,Go,D0084_RAI4-5,motor,sustain
significant_clusters.csv,152,PictureNaming,D0084,Go,D0084_RAI4-5,motor,sustain
significant_clusters.csv,153,PictureNaming,D0084,Response,D0084_RAI4-5,motor,sustain
significant_clusters.csv,178,PictureNaming,D0090,Go,D0090_RIA4-5,motor,sustain
significant_clusters.csv,179,PictureNaming,D0090,Go,D0090_RIA4-5,motor,sustain
significant_clusters.csv,186,PictureNaming,D0090,Response,D0090_RIA4-5,motor,sustain
