source_label,target_label,source_roi,target_roi,source_hemi,target_hemi,source_is_ins,target_is_ins,weight,component,phase
ctx_lh_G_insular_short,ctx_lh_G_front_inf-Triangul,INS,IFG,L,L,True,False,0.4609756164852526,0,perception
ctx_lh_G_insular_short,ctx_lh_S_circular_insula_sup,INS,INS,L,L,True,True,0.405971569953579,0,perception
ctx_lh_S_precentral-sup-part,ctx_lh_S_circular_insula_ant,SMC,INS,L,L,False,True,0.40510027712109864,0,perception
ctx_lh_S_precentral-sup-part,ctx_lh_S_circular_insula_inf,SMC,INS,L,L,False,True,0.3674872048876126,0,perception
ctx_lh_G_front_inf-Triangul,ctx_lh_S_circular_insula_inf,IFG,INS,L,L,False,True,0.35167541437554634,0,perception
ctx_lh_S_circular_insula_inf,ctx_rh_G_temporal_middle,INS,MTG,L,R,True,False,0.3211291214772879,0,perception
ctx_rh_G_temp_sup-Lateral,ctx_rh_S_circular_insula_inf,STG,INS,R,R,False,True,0.29103881132309184,0,perception
ctx_lh_G_insular_short,ctx_lh_S_circular_insula_inf,INS,INS,L,L,True,True,0.2774611350219922,0,perception
ctx_lh_S_circular_insula_sup,ctx_lh_G_insular_short,INS,INS,L,L,True,True,0.27532252293148907,0,perception
ctx_rh_G_temp_sup-Lateral,ctx_rh_G_temporal_middle,STG,MTG,R,R,False,False,0.26928405401393646,0,perception
ctx_rh_G_temp_sup-Lateral,ctx_lh_G_insular_short,STG,INS,R,L,False,True,0.2155258953740193,0,perception
ctx_lh_S_circular_insula_inf,ctx_lh_G_temp_sup-Lateral,INS,STG,L,L,True,False,0.20298967629771997,0,perception
ctx_lh_S_circular_insula_sup,ctx_lh_S_circular_insula_inf,INS,INS,L,L,True,True,0.17897105470737681,0,perception
ctx_lh_G_Ins_lg_and_S_cent_ins,ctx_lh_S_circular_insula_inf,INS,INS,L,L,True,True,0.4835274892945978,1,perception
