source_label,target_label,source_roi,target_roi,source_hemi,target_hemi,source_is_ins,target_is_ins,weight,component,phase
ctx_rh_S_circular_insula_sup,ctx_rh_G_front_sup,INS,SFG,R,R,True,False,0.5738835459685845,0,production
ctx_lh_G_front_inf-Triangul,ctx_lh_G_insular_short,IFG,INS,L,L,False,True,0.4356799675470219,0,production
ctx_lh_S_circular_insula_sup,ctx_lh_G_Ins_lg_and_S_cent_ins,INS,INS,L,L,True,True,0.4317310089736085,0,production
ctx_rh_S_circular_insula_sup,ctx_rh_G_temporal_middle,INS,MTG,R,R,True,False,0.4273605432427571,0,production
ctx_lh_G_insular_short,ctx_lh_G_front_inf-Triangul,INS,IFG,L,L,True,False,0.3768429768386993,0,production
ctx_rh_S_circular_insula_sup,ctx_rh_G_Ins_lg_and_S_cent_ins,INS,INS,R,R,True,True,0.36194966591671396,0,production
ctx_lh_S_circular_insula_sup,ctx_lh_G_front_inf-Opercular,INS,IFG,L,L,True,False,0.3404906734744458,0,production
ctx_rh_G_Ins_lg_and_S_cent_ins,ctx_rh_S_circular_insula_sup,INS,INS,R,R,True,True,0.31049661802233264,0,production
ctx_lh_G_insular_short,ctx_lh_G_front_inf-Opercular,INS,IFG,L,L,True,False,0.3007920235710211,0,production
ctx_rh_S_circular_insula_inf,ctx_rh_G_Ins_lg_and_S_cent_ins,INS,INS,R,R,True,True,0.2766830732630714,0,production
ctx_lh_G_insular_short,ctx_lh_S_precentral-sup-part,INS,SMC,L,L,True,False,0.2637844496281218,0,production
ctx_lh_G_Ins_lg_and_S_cent_ins,ctx_lh_S_circular_insula_sup,INS,INS,L,L,True,True,0.2509861870820977,0,production
ctx_lh_S_circular_insula_sup,ctx_lh_G_front_inf-Orbital,INS,IFG,L,L,True,False,0.24289298715276045,0,production
ctx_lh_G_front_inf-Opercular,ctx_lh_S_circular_insula_sup,IFG,INS,L,L,False,True,0.2297385787005319,0,production
ctx_rh_G_Ins_lg_and_S_cent_ins,ctx_rh_S_circular_insula_inf,INS,INS,R,R,True,True,0.2231147108030593,0,production
ctx_lh_S_circular_insula_inf,ctx_lh_G_insular_short,INS,INS,L,L,True,True,0.21483732343251596,0,production
ctx_rh_G_temp_sup-Lateral,ctx_rh_G_insular_short,STG,INS,R,R,False,True,0.208594441079836,0,production
ctx_lh_G_temp_sup-Lateral,ctx_lh_G_insular_short,STG,INS,L,L,False,True,0.20395869376245485,0,production
ctx_lh_G_insular_short,ctx_lh_S_circular_insula_sup,INS,INS,L,L,True,True,0.20186651770074976,0,production
ctx_lh_G_temp_sup-Lateral,ctx_lh_S_circular_insula_inf,STG,INS,L,L,False,True,0.19581876014417732,0,production
ctx_rh_S_precentral-sup-part,ctx_rh_S_circular_insula_sup,SMC,INS,R,R,False,True,0.1779013347808689,0,production
ctx_rh_G_insular_short,ctx_rh_G_front_inf-Opercular,INS,IFG,R,R,True,False,0.17750528852609634,0,production
ctx_rh_S_circular_insula_sup,ctx_rh_G_front_middle,INS,MFG,R,R,True,False,0.176098054264196,0,production
ctx_lh_G_insular_short,ctx_rh_G_front_middle,INS,MFG,L,R,True,False,0.16823726580963955,0,production
ctx_lh_S_circular_insula_inf,ctx_lh_G_temp_sup-G_T_transv,INS,HG,L,L,True,False,0.16450759581945948,0,production
ctx_lh_S_precentral-sup-part,ctx_lh_S_circular_insula_inf,SMC,INS,L,L,False,True,0.1631696735996366,0,production
ctx_lh_G_and_S_subcentral,ctx_lh_G_insular_short,SMC,INS,L,L,False,True,0.1614151816244682,0,production
ctx_rh_G_insular_short,ctx_rh_S_circular_insula_sup,INS,INS,R,R,True,True,0.15696913045056904,0,production
ctx_lh_S_circular_insula_sup,ctx_lh_G_postcentral,INS,SMC,L,L,True,False,0.15437678491846607,0,production
ctx_lh_G_temporal_middle,ctx_lh_S_circular_insula_inf,MTG,INS,L,L,False,True,0.1537197248533793,0,production
ctx_rh_S_circular_insula_sup,ctx_rh_G_temp_sup-Lateral,INS,STG,R,R,True,False,0.15333286323654657,0,production
ctx_lh_S_circular_insula_sup,ctx_lh_G_Ins_lg_and_S_cent_ins,INS,INS,L,L,True,True,0.33198261681332325,1,production
ctx_lh_S_circular_insula_inf,ctx_lh_G_Ins_lg_and_S_cent_ins,INS,INS,L,L,True,True,0.2283357648650173,1,production
ctx_lh_G_front_inf-Opercular,ctx_lh_S_circular_insula_sup,IFG,INS,L,L,False,True,0.22542379304918678,1,production
ctx_lh_G_Ins_lg_and_S_cent_ins,ctx_lh_S_circular_insula_sup,INS,INS,L,L,True,True,0.21766751944760465,1,production
ctx_rh_S_circular_insula_inf,ctx_rh_G_Ins_lg_and_S_cent_ins,INS,INS,R,R,True,True,0.1991802462630098,1,production
